Type,Sensorid,LocationGeneral,LocationArea,LocationSpecific,Description,Details
Temp Humidity Sensor,018a44ff,UVA,,422 Rice,Near door,
Temp Humidity Sensor,018a44b5,UVA,,240 Olsson,North wall near east stairwell,TH-35
TempHumidity,018a347a,prep,,,,
Temp Humidity Sensor,018a343d,UVA,,208 Olsson,Kitchen East Wall Near Fridge,TH-34
Temp Humidity Sensor,018a33c5,UVA,,241 Olsson,Near door,TH-33
Temp Humidity Sensor,018a33be,UVA,,201 Olsson,Near door,
Temp Humidity Sensor,018a32d6,UVA,,C201 Olsson,Front desk entrance near door,TH-31
Temp Humidity Sensor,018a3195,UVA,,286 Olsson,Near door,TH-30
Temp Humidity Sensor,018a315a,UVA,,221 Olsson,Northern wall in NE seating,TH-29
Temp Humidity Sensor,018a30c9,UVA,,211 Olsson,South wall by door,TH-28
TempHumidity,018a2fb4,prep,,,,
Temp Humidity Sensor,018a2fab,UVA,,277 Olsson,West wall,
Temp Humidity Sensor,018a2e6d,UVA,,243 Olsson,South wall,TH-27
TempHumidity,018a2e65,prep,,,,
Temp Humidity Sensor,018a2d70,UVA,,201 Olsson,East Wall,
Temp Humidity Sensor,018a2cd7,UVA,,204 Olsson,Near door,TH-25
Temp Humidity Sensor,018a2c81,UVA,,217 Olsson,South wall by door,TH-24
Temp Humidity Sensor,018a2adf,UVA,,274 Olsson,near door,
Temp Humidity Sensor,018a2ac3,UVA,,C210 Olsson,Elevator Hallway Olsson,TH-22
TempHumidity,018a2a35,prep,,,,
Temp Humidity Sensor,018a29cc,UVA,,Outside 2nd Floor,Outside window to 241 Olsson,
Temp Humidity Sensor,018a29bd,UVA,,245 Olsson,South wall,TH-20
Temp Humidity Sensor,018a2933,UVA,,270 Olsson,Back wall across from room 269,TH-19
TempHumidity,018a2914,prep,,,,
Temp Humidity Sensor,018a27f4,UVA,,225 Olsson,South wall by door,TH-18
Temp Humidity Sensor,018A27D0,UVA,,,Testing sensor,
Temp Humidity Sensor,018a27a2,UVA,,259 Olsson,near door,TH-17
Temp Humidity Sensor,018a271b,UVA,,221 Olsson,"East Wall, near student seating area",TH-16
Temp Humidity Sensor,018a26d6,UVA,,303 Rice,North wall,
Temp Humidity Sensor,018a26ba,UVA,,203 Olsson,Western North Wall Near the Corner,TH-14
Temp Humidity Sensor,018a242d,UVA,,251 Olsson,East wall near door,TH-13
TempHumidity,018a23b7,prep,,,,
TempHumidity,018a21cb,prep,,,,
TempHumidity,018a21b5,prep,,,,
Temp Humidity Sensor,018a2167,UVA,,281 Olsson,Near Door,TH-12
Temp Humidity Sensor,018a2154,UVA,,C230 Olsson,In stairwell on second floor,TH-11
Temp Humidity Sensor,018a2136,UVA,,273 Olsson,Near door,TH-10
Temp Humidity Sensor,018a2123,UVA,,271 Olsson,,TH-9
Temp Humidity Sensor,018a2087,UVA,,276 Olsson,West wall near opening to front desk,TH-8
TempHumidity,018a205b,prep,,,,
Temp Humidity Sensor,018a1f0e,UVA,,260 Olsson,Near door,TH-7
Temp Humidity Sensor,018a1f05,UVA,,218 Olsson,,TH-6
Temp Humidity Sensor,018a1e13,UVA,,269 Olsson,,TH-5
Temp Humidity Sensor,018a1dfd,UVA,,203 Olsson,Arena to the right of projector whiteboard,TH-4
Temp Humidity Sensor,018a1df9,UVA,,221 Olsson,On south wall shared with 211 near door to arena,TH-3
CO2 Sensor,018984f9,UVA,,241 Olsson,North wall,
TempHumidity,0184a21cb,prep,,,,
Door Sensor,0183436d,UVA,,245 Olsson,On door,
Door Sensor,0183436c,UVA,,281 Olsson,Window,
Door Sensor,1834365,UVA,,251 Olsson,On door,
Door Sensor,1834352,UVA,,281 Olsson,On door,
Door Sensor,1834351,UVA,,275 Olsson,On door,
Door Sensor,1834349,UVA,,283 Olsson,Window,
Door Sensor,018342ee,UVA,,257 Olsson,Window,
Door Sensor,1.83E+10,UVA,,263 Olsson,Window,
Door Sensor,018342de,UVA,,204 Olsson,On door,
Door Sensor,018342dc,UVA,,241 Olsson,Window,
Door Sensor,018342db,UVA,,304 Rice,On door,
Door Sensor,018342d8,UVA,,271 Olsson,On door,
Door Sensor,018342d6,UVA,,front desk entrance Olsson ,On door,
Door Sensor,1834275,UVA,,273 Olsson,On door,
Door Sensor,1834270,UVA,,265 Olsson,Window,
Door Sensor,0183426f,UVA,,251 Olsson,On window,
Door Sensor,1834254,UVA,,263 Olsson,On door,
Door Sensor,018341d0,UVA,,303 Rice,On door,
Door Sensor,018341b0,UVA,,422 Rice,On door,
Door Sensor,018341ac,UVA,,274 Olsson,On door,
Door Sensor,018341ab,UVA,,257 Olsson,On window,
Door Sensor,018341a1,UVA,,260 Olsson,On door,
Door Sensor,0183419f,UVA,,245 Olsson,Window,
Door Sensor,0183419d,UVA,,201 Olsson,On door to hardware lab,
Door Sensor,0183419b,UVA,,277 Olsson,On door,
Door Sensor,1834188,UVA,,211 Olsson,On door,
Door Sensor,1834186,UVA,,269 Olsson,Window,
Door Sensor,018330f8,UVA,,257 Olsson,Near door,
Temp Humidity Sensor,018317c3,UVA,,257 Olsson,Near door,TH-2
Door Sensor,018169f7,UVA,,217 Olsson,On door,
Door Sensor,018168b6,UVA,,286 Olsson,On door,
Door Sensor,1816234,UVA,,225 Olsson,On door,
Door Sensor,1816224,UVA,,283 Olsson,On door,
Door Sensor,1815241,UVA,,265 Olsson,On door,
Door Sensor,018151d9,UVA,,257 Olsson,On door,
Door Sensor,01814dd0,UVA,,241 Olsson,On door,
Motion Sensor,00889a35,UVA,,422 Rice,Near door,
Motion,8.88E+95,UVA,,241 Olsson,Near door,
Motion Sensor,00880cc5,UVA,,257 Olsson,East wall,
Rocker Pad,003917b5,UVA,,203 Olsson,Feelings board - good,
Rocker Pad,0039159b,UVA,,203 Olsson,Feelings board - ok,
Rocker Pad,0038cdbd,UVA,,203 Olsson,Feelings board - bad,
Irisys Vector 4D,0021ac043adf,UVA,,211 Olsson,Ceiling by door,Room occupancy sensor
